system:index,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,B8A_median,B8_median,date,name,.geo
0_123,4461.5,4431.5,4359.5,4729.5,5192.0,5531.0,5603.5,5429.0,2024-01,Location_124,"{""type"":""Point"",""coordinates"":[110.98904900000001,-7.110817000000001]}"
0_124,1004.5,1117.0,908.5,1433.0,3008.0,3931.5,4158.0,3603.5,2024-01,Location_125,"{""type"":""Point"",""coordinates"":[111.22694440000001,-7.124444399999999]}"
0_125,4551.0,4111.5,3600.5,3832.0,4822.5,5351.0,5514.5,4910.5,2024-01,Location_126,"{""type"":""Point"",""coordinates"":[111.1661968,-7.0656962]}"
0_126,6927.5,6766.5,6632.0,7086.0,7070.0,7059.5,7005.0,7404.5,2024-01,Location_127,"{""type"":""Point"",""coordinates"":[111.1753891,-7.0634965]}"
0_127,4457.5,4355.0,4104.0,4437.0,5343.0,5836.0,5829.5,5982.5,2024-01,Location_128,"{""type"":""Point"",""coordinates"":[111.20908830000002,-7.0554207]}"
0_128,6564.5,6411.5,6312.5,6472.0,6824.0,7066.0,7150.5,7322.0,2024-01,Location_129,"{""type"":""Point"",""coordinates"":[111.070272,-7.066728]}"
0_129,7368.5,7292.0,7208.5,7342.0,7492.0,7668.0,7718.5,7566.0,2024-01,Location_130,"{""type"":""Point"",""coordinates"":[111.07465000000002,-7.060544]}"
0_130,4370.5,4381.0,4287.0,4524.5,5005.5,5367.5,5391.5,5273.5,2024-01,Location_131,"{""type"":""Point"",""coordinates"":[110.637125,-7.048347]}"
0_131,4238.5,4258.5,4177.0,4383.5,4779.0,5097.5,5116.5,5052.0,2024-01,Location_132,"{""type"":""Point"",""coordinates"":[110.651028,-7.040136]}"
0_132,4100.0,4118.0,4047.0,4227.5,4580.5,4977.0,4964.5,4920.5,2024-01,Location_133,"{""type"":""Point"",""coordinates"":[110.656631,-7.036167]}"
0_133,4253.5,4275.0,4173.0,4395.5,4758.5,5048.0,5012.0,4961.0,2024-01,Location_134,"{""type"":""Point"",""coordinates"":[110.673756,-7.025803]}"
